Name,Position,GS,GS/GP,GP,Total Mins,Total Points,MPG,PPG,FG %,Salaries
Anfernee Simons,SG,30,0.526315789,57,1681.5,986,29.5,17.3,44.3,3938818
Jarrett Allen,C,56,1,56,1808.8,901,32.3,16.1,67.7,20000000
DeAndre' Bembry,SF,20,0.357142857,56,1024.8,285,18.3,5.1,56.1,518021
Cade Cunningham,SG,56,1,56,1831.2,957,32.7,17.1,40.8,10050120
Luka Doncic,PG,56,1,56,1993.6,1562,35.6,27.9,45.3,10174391
Shai Gilgeous-Alexander,SG,56,1,56,1943.2,1372,34.7,24.5,45.3,5495532
Killian Hayes,PG,35,0.625,56,1372,341,24.5,6.1,36,5572680
James Johnson,PF,10,0.178571429,56,1092,330,19.5,5.9,47.6,1669178
Ja Morant,PG,56,1,56,1864.8,1545,33.3,27.6,49.3,9603360
Jusuf Nurkic,C,56,1,56,1579.2,840,28.2,15,53.5,12000000
Aleksej Pokusevski,PF,7,0.125,56,1064,397,19,7.1,40.5,3113160
Otto Porter Jr.,SF,15,0.267857143,56,1209.6,459,21.6,8.2,46.2,1669178
Garrett Temple,SF,16,0.285714286,56,1058.4,302,18.9,5.4,38.3,4910000
Matisse Thybulle,SF,41,0.732142857,56,1444.8,330,25.8,5.9,49.4,2840160
Pat Connaughton,SF,18,0.327272727,55,1479.5,555,26.9,10.1,46.7,5333334
Chris Duarte,SG,39,0.709090909,55,1540,720,28,13.1,43.2,3749400
Trent Forrest,SG,5,0.090909091,55,698.5,181,12.7,3.3,48.9,470690
Eric Gordon,SG,44,0.8,55,1622.5,759,29.5,13.8,47.7,18218818
Jordan Nwora,SF,11,0.2,55,1056,423,19.2,7.7,40.8,1517981
P.J. Washington,PF,18,0.327272727,55,1468.5,561,26.7,10.2,45.8,4215120
James Harden,PG,55,1,55,2046,1237,37.2,22.5,41.6,44310840
Kyle Lowry,PG,55,1,55,1881,704,34.2,12.8,42.3,26894128
Garrison Mathews,SF,25,0.454545455,55,1463,577,26.6,10.5,40.8,2000000
Josh Richardson,SG,5,0.090909091,55,1336.5,533,24.3,9.7,43.6,11615328
Eric Bledsoe,SG,29,0.537037037,54,1360.8,534,25.2,9.9,42.1,18125000
John Collins,PF,53,0.981481481,54,1663.2,874,30.8,16.2,52.6,23000000
Josh Giddey,PG,54,1,54,1701,675,31.5,12.5,41.9,5988000
Javonte Green,PF,42,0.777777778,54,1306.8,399,24.2,7.4,54.3,1669178
Blake Griffin,C,24,0.444444444,54,939.6,351,17.4,6.5,42.3,1669178
R.J. Hampton,PG,6,0.111111111,54,1117.8,388,20.7,7.2,38.4,2303040
Josh Hart,SG,53,0.981481481,54,1792.8,804,33.2,14.9,50.4,12000000
LeBron James,SF,54,1,54,2003.4,1620,37.1,30,52.3,41180544
Damion Lee,SG,4,0.074074074,54,1069.2,405,19.8,7.5,44.9,1910860
Caleb Martin,SF,10,0.185185185,54,1236.6,513,22.9,9.5,51.6,1782621
Jaylen Nowell,SG,1,0.018518519,54,837,442,15.5,8.2,47.9,1782621
Ish Smith,PG,1,0.018518519,54,874.8,302,16.2,5.6,41.5,4500000
Bogdan Bogdanovic,SG,27,0.509433962,53,1563.5,763,29.5,14.4,42.8,18000000
Maxi Kleber,PF,21,0.396226415,53,1314.4,376,24.8,7.1,40,8975000
Jordan McLaughlin,PG,3,0.056603774,53,731.4,169,13.8,3.2,39,2000000
Ben McLemore,SG,6,0.113207547,53,1007,477,19,9,37.5,1669178
Austin Reaves,SG,13,0.245283019,53,1203.1,360,22.7,6.8,47.1,925258
Lamar Stevens,SG,13,0.245283019,53,784.4,286,14.8,5.4,49.2,1517981
Moe Wagner,C,1,0.018867925,53,726.1,450,13.7,8.5,49.8,1729217
Nicolas Batum,PF,47,0.903846154,52,1289.6,431,24.8,8.3,45.5,3170029
Talen Horton-Tucker,SF,16,0.307692308,52,1326,488,25.5,9.4,40.9,9500000
CJ McCollum,SG,52,1,52,1830.4,1159,35.2,22.3,45.9,30864198
Trey Murphy III,SF,0,0,52,681.2,239,13.1,4.6,37.6,3053760
Svi Mykhailiuk,SF,5,0.096153846,52,696.8,244,13.4,4.7,39.3,1729217
Frank Ntilikina,PG,5,0.096153846,52,639.6,218,12.3,4.2,38.4,1669178
Ziaire Williams,SF,27,0.519230769,52,1118,405,21.5,7.8,45.9,4373040
Deandre Ayton,C,51,1,51,1494.3,867,29.3,17,64.6,12632950
Keita Bates-Diop,SF,13,0.254901961,51,821.1,270,16.1,5.3,50.9,1729217
Patrick Beverley,PG,47,0.921568627,51,1300.5,474,25.5,9.3,40.7,14320988
Luguentz Dort,SF,51,1,51,1662.6,877,32.6,17.2,40.4,1782621
Danny Green,SF,25,0.490196078,51,1122,295,22,5.8,38.6,10000000
Dwight Howard,C,18,0.352941176,51,759.9,265,14.9,5.2,60.1,1669178
Lauri Markkanen,SF,51,1,51,1586.1,734,31.1,14.4,44,15690909
Doug McDermott,SF,51,1,51,1224,576,24,11.3,46.2,13750000
Chimezie Metu,PF,20,0.392156863,51,1065.9,438,20.9,8.6,44.4,1762796
Eric Paschall,PF,1,0.019607843,51,652.8,290,12.8,5.7,48.3,1782621
Kevin Porter,PG,51,1,51,1555.5,714,30.5,14,39.9,2130240
